es_id,final_decision,manual_note,review_batch,evidence_basis,evidence_source_url
Camden-2021_4154_P,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2023_1659,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2023_1781,EXCLUDE,secondary_lbc_only,original_304,official_lpa_record,
Hackney-2023_0139,EXCLUDE,secondary_lbc_only,original_304,official_lpa_record,
Hillingdon-71923_APP_2021_3894,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2021_3498_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2021_3347_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2022_2125_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2022_0832_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Hounslow-PAC_2023_2056,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2022_0434,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_1138,INCLUDE,first_pass_retained,original_304,application_description,
Hillingdon-77095_APP_2023_2856,INCLUDE,first_pass_retained,original_304,application_description,
Hillingdon-77095_APP_2023_1879,INCLUDE,first_pass_retained,original_304,application_description,
Hillingdon-75251_APP_2023_3385,INCLUDE,first_pass_retained,original_304,application_description,
Islington-Q2021_3373_MIN,EXCLUDE,first_pass_retained,original_304,application_description,
Richmond-22_3255_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Bromley-22_04185_CUETC3,INCLUDE,first_pass_retained,original_304,application_description,
Merton-22_P2011,INCLUDE,first_pass_retained,original_304,application_description,
Southwark-22_AP_3633,INCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P3228,INCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P3317,INCLUDE,first_pass_retained,original_304,application_description,
Bromley-23_00594_CUETC3,INCLUDE,first_pass_retained,original_304,application_description,
Redbridge-0838_23,INCLUDE,first_pass_retained,original_304,application_description,
Southwark-22_AP_2939,INCLUDE,first_pass_retained,original_304,application_description,
Tower_Hamlets-PA_23_02304,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-23_04327_GPDO,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-23_04354_GPDO,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-22_07575_P3JPA,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-23_03267_P3JPA,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_1863_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_1865_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Haringey-HGY_2023_0011,INCLUDE,first_pass_retained,original_304,application_description,
Tower_Hamlets-PA_22_00359_NC,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-221874,INCLUDE,first_pass_retained,original_304,application_description,
Barnet-23_2769_PNE,INCLUDE,first_pass_retained,original_304,application_description,
Bromley-22_02310_CUETC3,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2022_2880,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-23_04406_GPDO,INCLUDE,first_pass_retained,original_304,application_description,
Camden-2021_4184_P,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PP_22_01224,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-213946,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-231113,INCLUDE,first_pass_retained,original_304,application_description,
Greenwich-22_2286_F,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-213530,INCLUDE,first_pass_retained,original_304,application_description,
Bexley-22_00536_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2022_3177_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Southwark-22_AP_1782,INCLUDE,first_pass_retained,original_304,application_description,
Camden-2023_2988_P,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2023_2334,INCLUDE,first_pass_retained,original_304,application_description,
Bexley-23_01059_PRIOR,EXCLUDE,first_pass_retained,original_304,application_description,
Redbridge-1036_23,INCLUDE,first_pass_retained,original_304,application_description,
Haringey-HGY_2021_3380,INCLUDE,first_pass_retained,original_304,application_description,
Haringey-HGY_2022_0615,INCLUDE,first_pass_retained,original_304,application_description,
Haringey-HGY_2021_2847,INCLUDE,first_pass_retained,original_304,application_description,
Newham-24_00011_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Sutton-DM2024_00001,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2022_2336_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Kingston-23_01986_PAMA,INCLUDE,first_pass_retained,original_304,application_description,
Haringey-HGY_2022_1520,INCLUDE,first_pass_retained,original_304,application_description,
Sutton-DM2023_00879,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-23_01101_GPDO,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Wandsworth-2023_3717,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2023_1959_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Newham-22_02974_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Newham-23_00728_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Enfield-23_00469_PMA,INCLUDE,first_pass_retained,original_304,application_description,
Enfield-23_00615_PMA,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Islington-P2023_0922,UNRESOLVED,possible_source_id_mismatch_or_duplicate,original_304,pld_record_plus_official_lpa_cross_check,
Newham-23_00414_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-24_00344_APA,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Hackney-2022_3061,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Lambeth-22_04490_P3MA,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_0449_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Southwark-23_AP_2467,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_0761_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-22_3652_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Islington-P2022_3309,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Richmond-22_2111_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Camden-2024_0475_P,INCLUDE,first_pass_retained,original_304,application_description,
Southwark-23_AP_1414,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2023_1297,EXCLUDE,first_pass_retained,original_304,application_description,
Tower_Hamlets-PA_23_00337_A1,INCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P1519,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_0254_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Islington-P2022_3129_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-22_3769_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Croydon-23_02628_GPDO,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Islington-P2023_0473_PRA,INCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P1818,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_1471_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Richmond-22_2338_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Richmond-24_0048_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Barnet-23_4976_PNE,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-23_0253_GPD26,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Greenwich-23_1965_PN2,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Ealing-232157FUL,UNRESOLVED,insufficient_evidence_after_adjudication,original_304,description_pld_and_available_official_evidence_insufficient,
Hackney-2023_1704,INCLUDE,first_pass_retained,original_304,application_description,
Haringey-HGY_2022_0996,INCLUDE,first_pass_retained,original_304,application_description,
Bromley-21_05286_CUETC3,INCLUDE,first_pass_retained,original_304,application_description,
Bromley-21_04291_CUETC3,INCLUDE,first_pass_retained,original_304,application_description,
Brent-23_2074,EXCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PA_22_07727,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PA_22_07731,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PA_22_07726,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PA_22_07724,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-23_02328_APA,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Kingston-23_03172_PAR2R,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PA_22_07732,INCLUDE,first_pass_retained,original_304,application_description,
Newham-23_00037_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Newham-23_00982_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P1243,INCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P2724,INCLUDE,first_pass_retained,original_304,application_description,
Islington-P2022_3433,EXCLUDE,first_pass_retained,original_304,application_description,
Brent-22_3684,EXCLUDE,first_pass_retained,original_304,application_description,
Westminster-22_03970_PIAPA,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-23_03960_GPDO,INCLUDE,first_pass_retained,original_304,application_description,
Lambeth-22_00718_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-22_05318_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Kingston-22_03708_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-22_03064_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Kingston-23_00753_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-22_03183_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Kingston-23_01350_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Bexley-21_02506_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2021_5839,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-22_07847_FULL,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_2530,INCLUDE,first_pass_retained,original_304,application_description,
Croydon-22_04359_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Lambeth-23_01343_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Hammersmith_&_Fulham-2022_01873_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_2885,INCLUDE,first_pass_retained,original_304,application_description,
Lewisham-DC_22_127527,EXCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_4091,INCLUDE,first_pass_retained,original_304,application_description,
Hammersmith_&_Fulham-2022_01391_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Merton-22_P0667,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2021_3542,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PA_22_02601,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PP_21_07164,INCLUDE,first_pass_retained,original_304,application_description,
Newham-21_02184_PRECOU,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2021_2802,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2022_3089,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2022_2649,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-21_08340_P3JPA,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_2622,INCLUDE,first_pass_retained,original_304,application_description,
Greenwich-22_4043_F,EXCLUDE,first_pass_retained,original_304,application_description,
Enfield-21_03121_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PP_22_00040,INCLUDE,first_pass_retained,original_304,application_description,
Lambeth-22_02605_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Lambeth-22_00745_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Newham-21_02927_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Barking_&_Dagenham-22_01041_FULL,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-230434,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-220462,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-223374,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-212916,EXCLUDE,first_pass_retained,original_304,application_description,
Hammersmith_&_Fulham-2022_01814_FUL,EXCLUDE,no_clear_existing_commercial_to_c3_component,original_304,pld_structured_fields,
Wandsworth-2022_1735,INCLUDE,first_pass_retained,original_304,application_description,
Ealing-222852FUL,INCLUDE,first_pass_retained,original_304,application_description,
Lewisham-DC_22_125607,INCLUDE,first_pass_retained,original_304,application_description,
Hammersmith_&_Fulham-2023_00827_FUL,EXCLUDE,no_clear_existing_commercial_to_c3_component,original_304,pld_structured_fields,
Ealing-221418FUL,INCLUDE,first_pass_retained,original_304,application_description,
Greenwich-21_4391_F,INCLUDE,additional_evidence_confirms_eligibility,original_304,pld_structured_fields_and_or_official_lpa_record,
Hammersmith_&_Fulham-2023_02581_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-221774,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-231426,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_3954,EXCLUDE,first_pass_retained,original_304,application_description,
Lambeth-21_04904_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-23_03344_P3JPA,EXCLUDE,source_record_mismatch_or_contamination,original_304,official_lpa_record,
Waltham_Forest-223600,EXCLUDE,first_pass_retained,original_304,application_description,
Hackney-2022_1794,EXCLUDE,first_pass_retained,original_304,application_description,
Lambeth-23_03682_LB,EXCLUDE,first_pass_retained,original_304,application_description,
Lambeth-23_03681_FUL,UNRESOLVED,insufficient_evidence_after_adjudication,original_304,description_pld_and_available_official_evidence_insufficient,
Southwark-23_AP_0791,EXCLUDE,first_pass_retained,original_304,application_description,
Hackney-2024_0401,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2024_0402,INCLUDE,first_pass_retained,original_304,application_description,
Bexley-23_00951_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Westminster-22_04834_FULL,INCLUDE,first_pass_retained,original_304,application_description,
Hillingdon-5778_APP_2021_3809,INCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PP_23_04721,INCLUDE,first_pass_retained,original_304,application_description,
Harrow-P_0279_23,EXCLUDE,first_pass_retained,original_304,application_description,
Greenwich-24_0305_F,EXCLUDE,first_pass_retained,original_304,application_description,
Kensington_&_Chelsea-PP_23_04680,INCLUDE,first_pass_retained,original_304,application_description,
Harrow-P_1471_23,EXCLUDE,first_pass_retained,original_304,application_description,
Croydon-22_04224_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Southwark-22_AP_4283,EXCLUDE,first_pass_retained,original_304,application_description,
Croydon-23_00729_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Harrow-P_4324_22,EXCLUDE,first_pass_retained,original_304,application_description,
Camden-2022_2077_P,INCLUDE,first_pass_retained,original_304,application_description,
Camden-2023_3292_P,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_3530,INCLUDE,first_pass_retained,original_304,application_description,
Richmond-22_2954_GPD26,INCLUDE,first_pass_retained,original_304,application_description,
Hammersmith_&_Fulham-2021_03053_FUL,INCLUDE,first_pass_retained,original_304,application_description,
Hackney-2022_0988,EXCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2022_2884,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-221498,EXCLUDE,first_pass_retained,original_304,application_description,
Southwark-22_AP_4089,EXCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-221102,EXCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-213995,INCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-230813,INCLUDE,first_pass_retained,original_304,application_description,
Enfield-22_01693_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Lambeth-23_02053_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Southwark-23_AP_0479,EXCLUDE,first_pass_retained,original_304,application_description,
Islington-Q2021_3503_MJR,EXCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-221539,INCLUDE,first_pass_retained,original_304,application_description,
Wandsworth-2023_1865,INCLUDE,first_pass_retained,original_304,application_description,
Newham-23_00648_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Newham-23_02581_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Newham-23_02073_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Lewisham-DC_22_129784,EXCLUDE,first_pass_retained,original_304,application_description,
Lewisham-DC_23_129784,EXCLUDE,first_pass_retained,original_304,application_description,
Southwark-22_AP_4061,INCLUDE,first_pass_retained,original_304,application_description,
Hammersmith_&_Fulham-2023_00732_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Tower_Hamlets-PA_22_02580_R,EXCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P1670,EXCLUDE,first_pass_retained,original_304,application_description,
Merton-23_P2598,EXCLUDE,first_pass_retained,original_304,application_description,
Hackney-2021_2696,EXCLUDE,first_pass_retained,original_304,application_description,
Lambeth-21_04712_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-221561,EXCLUDE,first_pass_retained,original_304,application_description,
Waltham_Forest-222983,EXCLUDE,first_pass_retained,original_304,application_description,
Southwark-21_AP_4757,EXCLUDE,first_pass_retained,original_304,application_description,
Brent-22_3346,EXCLUDE,first_pass_retained,original_304,application_description,
Camden-2022_2542_P,EXCLUDE,first_pass_retained,original_304,application_description,
Enfield-23_01774_FUL,EXCLUDE,first_pass_retained,original_304,application_description,
