source_file,source_layer,include,tier,priority_order,selection_reason
planning_local_plan_data_04.gpkg,Small_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_05.gpkg,Growth_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_05.gpkg,Places,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_05.gpkg,Revised_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_06.gpkg,Office_Clusters,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_06.gpkg,Strategic_Outer_London_Development_Centre__BHA_,False,,99,Exclude: strategic development designation rather than the Local Plan town-centre boundary construct.
planning_local_plan_data_07.gpkg,Fitzrovia_Area_Action_Plan,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_07.gpkg,Local_Plan_Growth_Area,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_08.gpkg,Place_Specific_Policy_Areas,False,,99,Reviewed second pass: not an adopted analytical centre boundary under the frozen centre construct.
planning_local_plan_data_12.gpkg,Area_Action_Plans,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_12.gpkg,Local_Shopping_Centres,True,tier2,2,Include: official Local Plan data service identifies this as a polygon Local Shopping Centres layer; retained under the established Tier-2 retail-centre fallback rule.
planning_local_plan_data_12.gpkg,Street_Markets,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_13.gpkg,Shopping_Areas,False,,99,"Exclude: extremely granular shopping-area layer (2,098 polygons), not a centre-boundary unit."
planning_local_plan_data_14.gpkg,Growth_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_14.gpkg,Local_Shopping_Centres,True,tier2,2,Include: official Local Plan data service identifies this as a polygon Local Shopping Centres layer; retained under the established Tier-2 retail-centre fallback rule.
planning_local_plan_data_14.gpkg,Tall_Building_Growth_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_17.gpkg,Secondary_Shopping_Areas,False,,99,"Exclude: secondary shopping sub-area designation, not the whole centre boundary."
planning_local_plan_data_19.gpkg,Bunhill___Clerkenwell_Area_Action_Plan,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_22.gpkg,Brixton_Indoor_Market,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_22.gpkg,Key_Industrial_and_Business_Area_Land_with_Potential,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_22.gpkg,Key_Industrial_and_Business_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_22.gpkg,Special_Policy_Area,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_23.gpkg,Growth_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_24.gpkg,Neighbourhood_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_25.gpkg,Local_Shopping_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_26.gpkg,Key_Retail_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_26.gpkg,Local_Business_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_27.gpkg,Twickenham_Area_Action_Plan,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_30.gpkg,Neighbourhood_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_31.gpkg,Area_Action_Plans,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_31.gpkg,BHL_Neighbourhood_Retail_Parade,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_31.gpkg,Billet_Road_Local_Retail_Parade,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_31.gpkg,Local_Retail_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_31.gpkg,Neighbourhood_Retail_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_32.gpkg,Areas_Of_Special_Shopping_Character,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_32.gpkg,Important_Local_Parades,False,,99,"Exclude: retail/shopping parade designation is a subordinate retail strip, not the whole analytical centre boundary."
planning_local_plan_data_33.gpkg,Special_Policy_Areas,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_33.gpkg,West_End_Retail_And_Leisure_Special_Policy_Area,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_34.gpkg,Potential_Future_Extension_to_Town_Centre_Boundary,False,,99,"Exclude: potential future extension, not the current adopted centre boundary."
planning_local_plan_data_35.gpkg,Places,False,,99,"Exclude: separate policy, growth, business, market or special-character area rather than a centre boundary."
planning_local_plan_data_02.gpkg,Barking_Town_Centre,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
