policy_group_id,organisation_entity,article4_direction,area_count,direction_metadata_available,name_evidence,description_evidence,notes_evidence,permitted_development_rights_evidence,direction_name_evidence,direction_description_evidence,direction_notes_evidence,effective_start_dates,ai_evidence_basis,manual_decision,reason
192::A4D12,192,A4D12,114,TRUE,Modified Direction 3 - Town Centres,,,,Modified Direction 3 - Town Centres,Modified Article 4 direction withdrawing Class MA permitted development rights in selected town centre locations,,2022/10/28,explicit Class MA wording,INCLUDE,Official source text explicitly states withdrawal/restriction of Class MA permitted development rights.
192::A4D10,192,A4D10,72,TRUE,Modified Direction 1 - CAZ,,,,Modified Direction 1 - CAZ,Modified Article 4 direction withdrawing Class MA permitted development rights in the London Plan Central Activities Zone as it relates to Lambeth,,2022/10/28,explicit Class MA wording,INCLUDE,Official source text explicitly states withdrawal/restriction of Class MA permitted development rights.
350::NO_DIRECTION_REF,350,,63,FALSE,Manchester Road 1 || Manchester Road 2 || Westferry Road || Barkantine Estate 1 || Barkantine Estate 2 || Barkantine Estate 3 || Castalia Square || Wapping Lane 1 || Wapping Lane 2 || Canary Wharf || Poplar High Street || Pennyfields || The Highway || Burdett Road South 1 || Burdett Road South 2 || Limehouse 1 || Limehouse 2 || Burslem Street || Chrisp Street || Salmon Lane || Aberfeldy Street || London City Island || Thomas Road || Blackwall Trading Estate || Ben Jonson Road || St Paul's way || Caspian Wharf || Stepney Green 1 || Stepney Green 2 || Stepney Green 3 || Devon Road 1 || Devon Road 2 || Cambridge Heath Road 1 || Cambridge Heath Road 2 || Empson Street || Redchurch Street 1 || Redchurch Street 2 || St Leonards Street || Mile End || Mile End Road || Bethnal Green || Bow Road || Stroudley Walk || Columbia Road || Old Ford Road || Cambridge Heath 1 || Cambridge Heath 2 || Cambridge Heath 3 || Roman Road East || Crossharbour || Roman Road West 1 || Roman Road West 2 || Watney Market 1 || Watney Market 2 || Whitechapel 1 || Whitechapel 2 || Whitechapel 3 || Spitalfields || Brick Lane || Artillery Lane || Aldgate East || Aldgate West || Prescot Street,The council has confirmed an Article 4 direction to remove permitted development rights for changes of use from Class E uses to Residential (Class C3) uses in certain parts of the borough.,,,,,,2023/6/14,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
192::A4D11,192,A4D11,24,TRUE,Modified Direction 2 - KIBAs and WNCBC,,,,Modified Direction 2 - KIBAs and WNCBC,Modified Article 4 direction withdrawing Class MA permitted development rights in selected Key Industrial and Business Areas and the West Norwood Creative Business Cluster,,2022/10/28,explicit Class MA wording,INCLUDE,Official source text explicitly states withdrawal/restriction of Class MA permitted development rights.
67::NO_DIRECTION_REF,67,,11,FALSE,"Land at Bourne End Business Park || Land at Cressex Business Park, High Wycombe || Land at Globe Park, Marlow || Land at Glory Park Business Park, Wooburn Green || Land at Holmers Farm Way, High Wycombe || Land at Kingmead Business Park, High Wycombe || Land at Marlow International, Parkway, Marlow || Land at Mercury Park Business Park, Wooburn Green || Land at Millboard Road, Bourne End || Land at Peregrine Business Park, High Wycombe || Land at Princes Estate and Regents Park, Princes RIsborough",Change of use from offices to residential - refer to Order and GDO 2015 and 2019,,,,,,2019/5/2,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
182::1286,182,1286,1,TRUE,Article 4 - No 106,,,"Commercial, Business and Service use to Residential use",Article 4 - No 106,"Commercial, Business and Service use to Residential use",,,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.21,278,Ar4.21,1,TRUE,Alban Park/Acrewood Way/Lyon Way,,,P3CO;P3CP;P3CPA,Alban Park/Acrewood Way/Lyon Way,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.22,278,Ar4.22,1,TRUE,Brick Knoll Park,,,P3CO;P3CP;P3CPA,Brick Knoll Park,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.23,278,Ar4.23,1,TRUE,Coldharbour Lane,,,P3CO;P3CP;P3CPA,Coldharbour Lane,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.24,278,Ar4.24,1,TRUE,North Orbital Commercial Park,,,P3CO;P3CP;P3CPA,North Orbital Commercial Park,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
